id_cart_items;quantity;created_at;modified_at
1;54017;2021-04-25T18:12:44;2021-04-26T02:12:36
2;15672;2021-04-25T21:16:02;2021-04-25T21:53:25
3;94054;2021-04-25T20:49:11;2021-04-26T10:56:12
4;66346;2021-04-25T18:14:29;2021-04-26T10:42:56
5;17939;2021-04-26T05:46:28;2021-04-25T21:44:33
6;29508;2021-04-25T19:39:24;2021-04-26T06:07:18
7;47797;2021-04-26T04:57:12;2021-04-26T17:56:29
8;70375;2021-04-26T05:27:52;2021-04-25T21:56:00
9;38249;2021-04-26T09:23:46;2021-04-26T02:56:15
10;61058;2021-04-26T06:52:48;2021-04-25T18:29:10
