id_cart_order_details;total_price;created_at;modified_at
1;5288;2021-04-26T17:27:07;2021-04-26T05:12:38
2;36521;2021-04-26T04:05:19;2021-04-26T09:34:56
3;13590;2021-04-26T13:03:06;2021-04-25T22:09:23
4;25618;2021-04-26T08:37:55;2021-04-26T10:25:55
5;23487;2021-04-26T13:20:46;2021-04-26T14:04:33
6;45679;2021-04-26T00:38:22;2021-04-25T18:25:44
7;44892;2021-04-26T03:41:44;2021-04-25T23:07:48
8;66735;2021-04-25T18:11:14;2021-04-26T13:21:24
9;72922;2021-04-26T09:30:32;2021-04-26T03:23:02
10;45792;2021-04-26T02:53:19;2021-04-26T06:38:54
