id_category;category_name;created_at;modified_at
1;Table;2021-04-26T10:26:18;2021-04-25T22:41:38
2;Directives;2021-04-26T12:39:23;2021-04-25T23:48:52
3;Refined metrics e-commerce;2021-04-26T14:50:21;2021-04-25T20:11:55
4;transmitting Berkshire Planner;2021-04-26T09:52:25;2021-04-25T23:33:14
5;Steel transmitting Nevada;2021-04-25T20:16:10;2021-04-26T08:57:54
6;interfaces Games;2021-04-26T12:08:45;2021-04-26T03:50:00
7;Tasty methodologies Realigned;2021-04-26T03:58:27;2021-04-26T14:19:37
8;violet Loan Music;2021-04-26T03:10:55;2021-04-26T06:08:12
9;visionary;2021-04-26T13:40:22;2021-04-25T23:44:29
10;archive;2021-04-25T19:45:43;2021-04-25T20:36:21
