id_product;name;price;stock;image_url;product_url;created_at;modified_at
1;Steel;31485;98311;quantify monetize Consultant;wireless Handmade;2021-04-25T23:30:29;2021-04-25T19:43:29
2;magenta THX;6602;88209;Unbranded Soap;applications Metical;2021-04-26T15:37:29;2021-04-26T10:14:50
3;Korea transmitting New;49167;20811;Card;intranet;2021-04-26T13:58:40;2021-04-26T10:56:35
4;Small digital Oklahoma;37638;20520;Security;mobile Vermont auxiliary;2021-04-25T20:10:04;2021-04-25T21:12:25
5;Personal Steel;15779;40746;Ethiopia;Crossroad CSS;2021-04-26T14:13:00;2021-04-26T12:33:37
6;Shoes;46377;5902;black;Checking Account Renminbi;2021-04-26T09:50:44;2021-04-25T18:10:54
7;South Forward open-source;17130;8650;Arizona mobile;AGP lavender;2021-04-26T00:46:01;2021-04-25T23:19:25
8;grey solution;91780;56289;Checking system-worthy;Steel;2021-04-26T14:54:16;2021-04-26T11:19:18
9;Cambridgeshire Chair;31837;53352;Zimbabwe Games Balboa;transmit Incredible IB;2021-04-26T05:15:22;2021-04-26T04:37:11
10;Executive;25242;21940;Pants bypassing Chief;Tuvalu;2021-04-25T22:30:20;2021-04-26T06:45:40
